Standar,Butir Mutu,Soal Tilik
STANDAR KOMPETENSI LULUSAN,"Tersedianya dokumen Profil Lulusan Program Studi (Sikap, Pengetahuan, Ketrampilan umum dan Khusus)","Apakah dokumen Profil Lulusan Program Studi memenuhi Aspek; 
1.        Aspek Sikap
2.        Aspek Pengetahuan
3.        Aspek Ketrampilan ( Umum dan Khusus)"
STANDAR KOMPETENSI LULUSAN,"Tersedianya dokumen Profil Lulusan Program Studi (Sikap, Pengetahuan, Ketrampilan umum dan Khusus)",Apakah tersedia dokumen sahih tentang sosialisasi profil lulusan Program Studi ?
STANDAR KOMPETENSI LULUSAN,"Tersedianya dokumen Profil Lulusan Program Studi (Sikap, Pengetahuan, Ketrampilan umum dan Khusus)",Apakah Profil lulusan sudah sesuai dengan visi dan misi Program Studi ?
STANDAR KOMPETENSI LULUSAN,"Tersedianya dokumen Profil Lulusan Program Studi (Sikap, Pengetahuan, Ketrampilan umum dan Khusus)",Apakah dilaksanakan rapat pengendalian hasil evaluasi profil lulusan
STANDAR KOMPETENSI LULUSAN,"Tersedianya dokumen Profil Lulusan Program Studi (Sikap, Pengetahuan, Ketrampilan umum dan Khusus)",Apakah ada peningkatan Profil Lulusan ?
STANDAR KOMPETENSI LULUSAN,Dokumen Capaian Pembelajaran Lulusan (CPL) pada program Studi sesuai SNPT dan Level KKNI,Apakah dokumen kurikulum sudah sesuai dengan pedoman?
STANDAR KOMPETENSI LULUSAN,Dokumen Capaian Pembelajaran Lulusan (CPL) pada program Studi sesuai SNPT dan Level KKNI,Apakah tersedia laporan capaian pembelajaran setiap mata kuliah (CPMK)?
STANDAR KOMPETENSI LULUSAN,Dokumen Capaian Pembelajaran Lulusan (CPL) pada program Studi sesuai SNPT dan Level KKNI,Apakah CPMK sudah sesuai dengan CPL ?
STANDAR KOMPETENSI LULUSAN,Dokumen Capaian Pembelajaran Lulusan (CPL) pada program Studi sesuai SNPT dan Level KKNI,Apakah dilaksanakan rapat pengendalian hasil evaluasi CPL ?
STANDAR KOMPETENSI LULUSAN,Dokumen Capaian Pembelajaran Lulusan (CPL) pada program Studi sesuai SNPT dan Level KKNI,Apakah ada peningkatan CPL ?
STANDAR KOMPETENSI LULUSAN,Tersedia dokumen dan link akun Treacher Study Dokumen Treacher Study,Apakah tersedia kebijakan tentang Treacher Study ?
STANDAR KOMPETENSI LULUSAN,Tersedia dokumen dan link akun Treacher Study Dokumen Treacher Study,Apakah tersedia laporan Treacher Study dan E- Treacher Study ?
